	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SLC35B4	107.6584299	0.37377702	0.203418839	1.837474944	0.066139812	1
SYCE1L	8.625819453	0.279385495	0.306471673	0.911619309	0.361969154	1
TMEM231	43.75992934	0.714930312	0.184118435	3.882991454	0.000103179	1
FAM71F2	6.767070234	0.074027721	0.312349637	0.237002742	0.812654663	1
CCNI2	68.23155771	0.638474768	0.206406258	3.093291717	0.001979494	1
TMEM240	7.132824235	0.059045058	0.389870429	0.151447902	0.879622405	1
LINC02716	1.342301489	-0.916678712	0.559923447	-1.637150072	0.101599116	1
C4orf47	1.492597855	0.156464355	0.531811836	0.294209989	0.768597448	1
TRIQK	277.0232172	0.00121974	0.16556143	0.007367297	0.994121801	1
SDHAF1	87.08350913	-0.108707556	0.10430633	-1.042195193	0.297321191	1
PSENEN	67.58830965	0.131495122	0.204798714	0.642070058	0.520827696	1
LINC00654	135.9276128	0.277074835	0.313726775	0.88317242	0.377143121	1
ZBTB10	330.6519733	-0.250242684	0.171941537	-1.455394015	0.145560212	1
C4orf46	59.00247477	0.53206004	0.156583684	3.397927713	0.000678984	1
SCGB2B2	2.409660874	-0.48804908	0.35757191	-1.364897706	0.172285203	1
LGR4	1245.491777	-0.456519737	0.194976232	-2.341412243	0.019210942	1
PSMB10	318.402655	-0.139047577	0.150167625	-0.925949098	0.354472434	1
VIT	13.57921652	-1.17840149	0.429607523	-2.742972192	0.006088584	1
E2F4	765.4631345	0.231343725	0.088362612	2.618117781	0.008841628	1
PDE7A	176.9298304	0.362682447	0.156936746	2.31101037	0.020832282	1
TMEM170B	44.81990631	0.073192574	0.281283879	0.26020892	0.794702624	1
MUC12	4463.413554	-0.436059413	0.483663602	-0.901575828	0.367282236	1
SNX2	645.2612968	-0.184724309	0.087452468	-2.112282404	0.034662234	1
NT5M	8.155874893	-0.431320355	0.350672086	-1.229982004	0.218703844	1
SARNP	2.111369261	0.287400469	0.411910353	0.697725772	0.485348708	1
PRR13	638.1890035	-0.215397089	0.155642479	-1.383922247	0.166382264	1
TECPR1	379.2557664	-0.233181915	0.126051271	-1.849897368	0.064328343	1
MT1H	141.4824127	-1.481580218	0.573094851	-2.585226886	0.009731494	1
MT1DP	2.412794318	-1.388546623	0.43772544	-3.172186253	0.001512959	1
MT1A	10.31212062	-0.077849508	0.463926249	-0.167805785	0.866736072	1
INSYN1	17.56997912	-0.290008446	0.416676292	-0.696004193	0.486426204	1
MT1M	185.5030086	-1.808918495	0.53908027	-3.355564275	0.000792032	1
SAMD9	439.008287	-0.832606924	0.30747062	-2.707923521	0.006770562	1
0.342	1.189784211	0.621908794	0.64582791	0.962963638	0.335565771	1
KRT6A	2.79599686	4.887964919	1.217279044	4.015484323	5.93E-05	1
CNEP1R1	114.5527699	-0.127233751	0.086599795	-1.469215389	0.141774378	1
KRT81	1.167825235	-0.199266582	0.602446015	-0.330762553	0.740823849	1
EXOC3L4	68.1514095	-0.820814515	0.237358629	-3.458119552	0.00054396	1
ATP6AP1L	18.51374474	-0.317591096	0.210024398	-1.512162866	0.130492435	1
CCDC85C	380.6280442	-0.434977654	0.14460526	-3.008034803	0.00262943	1
SPDYE18	1.963720937	-0.588645657	0.39845662	-1.477314285	0.13959141	1
0.344	15.11546572	-0.023442782	0.194868647	-0.120300431	0.904245162	1
CALML3-AS1	3.029336681	1.112513509	0.556469087	1.99923686	0.045582732	1
C2CD4B	26.07789765	1.224269317	0.305001506	4.013977941	5.97E-05	1
RGL3	81.61057065	-0.39654463	0.383043019	-1.035248288	0.300552973	1
NAP1L4	965.3278555	0.265291068	0.081892225	3.239514722	0.001197333	1
SMG1P2	3.220787747	-0.105209304	0.351799314	-0.29906057	0.764893831	1
TMSB4X	10935.25913	-0.076411	0.13146065	-0.581246179	0.561074549	1
TMEM256	55.01794896	-0.121722898	0.209622403	-0.580676949	0.5614582	1
CHKB-DT	5.341202122	-0.344293413	0.290419217	-1.185504931	0.235817866	1
CPT1B	11.40694157	-0.484116909	0.28775344	-1.682401809	0.092490951	1
SMN2	5.840910592	0.00606445	0.365540508	0.016590364	0.986763412	1
SERF1B	1.338270219	-0.975482602	0.566908717	-1.72070489	0.085304389	1
POM121B	1.538280755	0.700708271	0.505546221	1.38604195	0.165734094	1
HMGN1	754.2049046	0.211753283	0.09447721	2.241316014	0.025005612	1
STAG3L1	1.892326725	-0.337282163	0.415283883	-0.812172533	0.416692638	1
DENND6B	49.32826419	-0.405504033	0.173632405	-2.335416783	0.019521659	1
EIF3CL	5.039449803	0.117845328	0.277423396	0.424785111	0.670993333	1
LINC01597	12.37800864	0.620222595	0.441702426	1.404163886	0.160270053	1
0.349	11.15526298	0.698896236	0.321363665	2.174783	0.029646382	1
LCMT1	236.9208964	-0.162769484	0.105356787	-1.54493591	0.122361766	1
MFSD2B	2.944081063	-0.176613701	0.361577606	-0.488453095	0.625228942	1
CDPF1	51.96521853	-0.110075526	0.155144316	-0.709504085	0.478011717	1
LIN52	79.88516286	0.27222162	0.110412339	2.465499981	0.013682218	1
CYP2D7	12.6710182	-0.401015149	0.330185557	-1.21451451	0.224551312	1
ETFRF1	69.23302354	-0.119929603	0.11387394	-1.053178655	0.292259119	1
C17orf107	13.16670654	-0.189126201	0.28895763	-0.654511877	0.512782078	1
ITSN1	371.3893928	-0.33298503	0.158034568	-2.107039205	0.035114181	1
ITPRIPL2	393.2663508	0.136783887	0.094221896	1.451720806	0.146579252	1
0.355	2.974470961	0.315986261	0.37978868	0.832005475	0.405405854	1
DENND1C	773.6636075	-0.545637882	0.193148715	-2.824962526	0.004728615	1
PKD1P4	10.21451498	0.136429978	0.249270621	0.547316718	0.58416116	1
CRLF2	2.085848407	-0.305774474	0.422002464	-0.724579832	0.468709835	1
RP9P	31.66604413	0.588075093	0.179131033	3.282932517	0.001027333	1
C5orf51	247.4869187	0.241968538	0.083901149	2.883971669	0.003926941	1
CATSPER2P1	6.5326095	0.336330491	0.255102792	1.318411641	0.187365886	1
DPP9-AS1	2.326028319	-0.189463034	0.371700765	-0.509719248	0.610248166	1
LOH12CR2	7.083467375	-0.201867391	0.251833541	-0.801590566	0.422789837	1
0.358	1.134497561	-0.153063194	0.629604191	-0.24311019	0.807920038	1
CYS1	43.97978066	-0.811983784	0.354828305	-2.288385033	0.022115108	1
PLPP6	197.5893713	-0.317988337	0.120439665	-2.640229345	0.008284994	1
KLRC2	3.106618002	-0.842308883	0.532933322	-1.580514574	0.113989072	1
KLRC3	1.983156677	-1.162591332	0.481827049	-2.412880997	0.015826986	1
OR7E91P	1.529395946	0.690715596	0.683154299	1.011068213	0.311983783	1
PCOTH	3.026183688	0.623368697	0.46761142	1.33309126	0.182501857	1
RPS3AP47	2.997543607	0.287177219	0.318938686	0.900415131	0.367899371	1
C1RL-AS1	61.7717375	0.062073458	0.163636088	0.379338436	0.704436561	1
0.36	89.68321946	-0.056359305	0.250475684	-0.225009087	0.821972205	1
ZNF316	438.0124373	0.450606275	0.157777833	2.855954259	0.004290769	1
SRRM2-AS1	4.829533311	-0.614548238	0.268192166	-2.291447388	0.021937552	1
PDPK2P	3.80753689	-0.354877005	0.316614115	-1.120850235	0.262351617	1
C21orf62-AS1	11.11926052	0.045012295	0.26881461	0.167447354	0.867018068	1
RNPS1	936.3426308	0.466953716	0.124261606	3.757827788	0.000171395	1
HSP90AB2P	1.6009259	0.519083452	0.533777963	0.972470742	0.330816414	1
0.362	4.321057247	-0.993098422	0.3530895	-2.812596873	0.004914322	1
NYNRIN	383.7881003	0.125421658	0.131506832	0.953727312	0.340221692	1
DNAJC19	223.9101555	0.150107275	0.090898865	1.651365772	0.098663909	1
DOK6	12.15880183	0.029580796	0.285378445	0.103654626	0.917443436	1
JPT2	888.1287429	0.496583665	0.132973255	3.734462729	0.000188116	1
ZDHHC11B	51.72919756	0.225719437	0.332869371	0.678102154	0.497706925	1
CFAP99	3.739629012	-1.286202789	0.448494085	-2.867825532	0.004133034	1
TMEM191C	1.284419092	-0.864126442	0.546076817	-1.582426527	0.113552233	1
HERC2P9	30.5887664	-0.24299997	0.206056713	-1.179286842	0.238283976	1
GYG2P1	28.81739721	-0.357816854	0.664310794	-0.538628692	0.590143086	1
HBA1	1.493742258	-1.951222704	0.752075992	-2.594448866	0.009474271	1
ATP10A	59.8402546	0.374466425	0.228840759	1.636362449	0.101763753	1
DUXAP8	3.267555516	3.192426071	0.812542734	3.928933137	8.53E-05	1
HNRNPA1P4	1.597642841	1.01901196	0.442190457	2.304463931	0.021196615	1
HCP5	630.4951974	0.020048646	0.218477169	0.091765404	0.926884432	1
HLA-H	133.7021628	-0.339248308	0.352750523	-0.961723049	0.336188741	1
HCG27	12.3677316	-0.707134379	0.266043364	-2.657966608	0.007861368	1
COL6A6	2.528546295	1.285908734	0.698292229	1.841505147	0.065547567	1
H1-10-AS1	9.480312001	-0.389718583	0.283071241	-1.37675089	0.168589279	1
RAB12	140.6656262	-0.202366674	0.167539754	-1.207872579	0.227096279	1
TMEM200C	7.955880982	0.713541472	0.352981863	2.021467806	0.043231362	1
HLA-A	7908.013354	-0.278317984	0.208629737	-1.334028354	0.182194564	1
HACD2	637.3880295	-0.279776922	0.116637259	-2.398692525	0.016453724	1
CFAP44	98.41227761	-0.352921652	0.143237185	-2.463896861	0.013743565	1
0.372	1.313293162	-0.471629676	0.515647521	-0.914635785	0.360382866	1
LNP1	14.14227119	0.019585445	0.266768887	0.073417274	0.941474072	1
VGLL3	67.96476292	0.326142577	0.372716661	0.875041583	0.381551281	1
ZCWPW2	2.020628865	-0.549903515	0.44117316	-1.246457321	0.212596549	1
ANKRD28	512.1694447	-0.07368546	0.098781986	-0.745940254	0.455703507	1
COLQ	9.804341398	-0.115793026	0.283085544	-0.409038993	0.682511045	1
METTL6	66.18957734	0.406519541	0.118283013	3.436837903	0.000588548	1
0.374	14.55435811	0.0193706	0.206483137	0.093812019	0.925258484	1
THUMPD3-AS1	116.0216847	0.434848672	0.142718827	3.046890743	0.002312217	1
XKR4	18.36740242	-1.094171563	0.579432586	-1.888350067	0.05897897	1
SNORD101	1.850344569	1.074984425	0.472396748	2.27559658	0.022870166	1
RNU6-418P	1.286793383	-0.371608466	0.474359437	-0.783390057	0.433398093	1
RNVU1-30	2.190624277	-0.14727275	0.474189355	-0.310577935	0.756121504	1
SNORA5A	2.962660449	0.331983509	0.417321394	0.7955104	0.426316664	1
SNORA75	1.238344622	-0.291167617	0.577614839	-0.504086108	0.614200868	1
SNORD59A	2.155081141	-0.207172775	0.500519808	-0.413915237	0.678936184	1
RNU6-1065P	1.281077449	-0.822444818	0.50657312	-1.623546109	0.104472715	1
RNU6-140P	1.719955638	-1.756570087	0.603528493	-2.910500677	0.003608502	1
RNVU1-1	1.828804236	0.717630846	0.462805037	1.55061157	0.120994798	1
Y_RNA.545	1.315469839	0.988530502	0.511317999	1.933298854	0.053199393	1
Y_RNA.559	1.672537394	0.031782853	0.782145485	0.040635475	0.967586503	1
SNORA66	1.423405499	0.158574339	0.464034345	0.341729747	0.732554283	1
MIR25	5.663243281	0.692836728	0.346560899	1.999177433	0.045589159	1
MIR647	4.270092564	0.327491929	0.351044754	0.932906488	0.350868252	1
MIR635	10.67330778	-0.188593312	0.25513926	-0.739177938	0.459798956	1
MIR200A	3.723463263	0.257426694	0.398408247	0.646137965	0.51819001	1
MIR570	13.56491288	-0.286906327	0.188217208	-1.524336328	0.127424717	1
MIR621	30.62243566	0.462635739	0.313831026	1.474155518	0.140439723	1
MIR573	2.169728436	-0.188597092	0.378021875	-0.498905233	0.617846147	1
MIR186	1.734890126	-1.342958558	0.456431298	-2.942301642	0.003257824	1
MIR200B	2.457056322	-0.178911951	0.398207683	-0.449293067	0.653220258	1
MIR10B	2.527914442	-1.441702461	0.498104566	-2.894377124	0.003799116	1
MIR559	2.020124835	-0.144689643	0.412146464	-0.351063653	0.725540595	1
MIR135A1	3.681493959	-0.453903553	0.369260999	-1.229221482	0.218988777	1
MIR616	3.189007508	-0.370914726	0.364648564	-1.017184114	0.309065852	1
SNORD94	2.575059427	0.600691123	0.42146274	1.425253209	0.15408402	1
MT-TL1	279.6964139	-0.552207801	0.360741189	-1.530758941	0.125828981	1
SNORD83A	1.823385109	-0.166159299	0.460483566	-0.360836544	0.718221642	1
MT-TV	16.18523451	-0.996938072	0.428362796	-2.327321796	0.019948145	1
MT-RNR2	135765.8992	-0.534882936	0.211427407	-2.529865654	0.011410621	1
MT-TQ	5.268946214	0.467445341	0.507242044	0.921542974	0.356767016	1
MT-TM	2.485997983	-0.781896683	0.641234858	-1.219360853	0.222707261	1
MT-TW	2.86321344	-0.753919608	0.548000868	-1.37576353	0.168894856	1
MT-TA	1.412091563	3.004345848	1.030191895	2.916297306	0.003542128	1
MT-TC	28.38534398	-0.418293979	0.284832636	-1.468560573	0.141952015	1
MT-TY	247.1413711	-0.501791841	0.348933207	-1.438074194	0.150413004	1
MT-TD	4.805128985	-0.596067547	0.469605097	-1.269295308	0.204335759	1
MT-TG	14.13452247	-0.662934343	0.343675582	-1.928953869	0.053736589	1
MT-TR	1.755092416	0.034166837	0.723745052	0.047208387	0.962347143	1
MT-TH	13.34204499	-0.082926393	0.324616068	-0.255459914	0.798367901	1
MT-TS2	41.6725663	-0.053522853	0.3180294	-0.168295298	0.866350972	1
MT-TL2	81.43505376	-0.106535918	0.312268182	-0.341168021	0.732977096	1
MT-TE	54.78409822	-0.801006272	0.397410429	-2.015564297	0.043845556	1
MT-TT	10.45873991	-1.067731995	0.468307135	-2.279982332	0.022608736	1
MT-TP	863.5543921	-0.445744886	0.16967635	-2.627030138	0.00861337	1
MIR196A1	15.29536592	0.312447958	0.278194343	1.123128366	0.261382981	1
GPX3	603.6955648	-1.022553716	0.36147802	-2.828812982	0.004672099	1
SELENOH	189.4226624	0.33783473	0.159297825	2.120774278	0.033940802	1
GNRHR2	9.074300566	-0.144616815	0.283190106	-0.510670437	0.609581845	1
AKR7L	30.82033823	-0.667947749	0.252836544	-2.641816484	0.008246272	1
STK38L	694.5042797	0.400759395	0.137722406	2.909907017	0.003615363	1
SACM1L	547.9141718	-0.254992154	0.103391774	-2.466271183	0.013652793	1
MT-RNR1	14549.47928	-0.62481973	0.224160584	-2.787375549	0.005313686	1
TSN	755.595079	0.370161583	0.097579167	3.793448893	0.000148569	1
SLC48A1	179.6748122	0.20146146	0.118255313	1.703614451	0.08845314	1
IGKC	27512.59988	-1.460970481	0.369607243	-3.952764747	7.73E-05	1
IGKJ5	13.8436165	-1.701800226	0.445920245	-3.816378034	0.000135425	1
IGKJ4	12.54508326	-1.645537579	0.417699968	-3.93952048	8.16E-05	1
IGKJ3	7.851632399	-1.716374619	0.484549304	-3.542208409	0.000396792	1
IGKJ1	5.650870073	-1.831594432	0.452275833	-4.049728724	5.13E-05	1
IGKV4-1	2386.957877	-1.156939383	0.406400196	-2.846798293	0.004416133	1
IGKV5-2	32.68590979	-1.827018642	0.488119495	-3.742974128	0.000181855	1
IGKV6-21	94.02113631	-1.055824681	0.50995564	-2.070424556	0.038412604	1
IGKV3D-20	117.4806873	-1.651700304	0.443848578	-3.721314847	0.000198188	1
IGKV3D-11	21.59383711	-1.298140831	0.444831627	-2.918274581	0.003519743	1
IGLV4-69	414.0570389	-1.215103479	0.413166299	-2.94095497	0.003272021	1
IGLV8-61	368.6769371	-2.316081745	0.706080027	-3.280197224	0.001037345	1
IGLV4-60	65.20530912	-1.847682925	0.532032879	-3.472873574	0.000514918	1
IGLV6-57	258.1216056	-1.505378293	0.394066243	-3.820114813	0.00013339	1
IGLV10-54	330.7374959	-1.815306246	0.694832068	-2.612582709	0.008986095	1
IGLV5-52	12.97420524	-0.564105472	0.238705698	-2.363183938	0.018118674	1
IGLV1-51	607.0825412	-1.183570561	0.357871966	-3.307245808	0.000942182	1
IGLV1-50	1.4210183	-1.852933925	0.627598443	-2.95241957	0.003152942	1
IGLV5-48	2.447938313	-1.923625964	0.657126935	-2.927327828	0.003418883	1
IGLV1-47	328.7235156	-1.200950853	0.412285152	-2.91291318	0.003580741	1
IGLV7-46	485.7322448	-1.533757872	0.533718708	-2.873719525	0.00405669	1
IGLV5-45	173.9458213	-0.973379615	0.58264953	-1.670609114	0.094798911	1
IGLV1-44	514.0694656	-0.329259424	0.434505932	-0.757778893	0.44858336	1
IGLV7-43	280.305048	-1.783594992	0.458424011	-3.890710234	1.00E-04	1
IGLV1-40	761.535292	-1.40987052	0.390339621	-3.61190728	0.000303953	1
IGLV5-37	14.94730234	-2.09652103	0.66010696	-3.176032307	0.001493043	1
IGLV1-36	63.4848066	-1.351492933	0.599889966	-2.252901382	0.024265368	1
IGLV2-33	3.805133196	-2.185906995	0.646278411	-3.382299267	0.000718818	1
IGLV3-27	90.94408841	-1.858298893	0.47561036	-3.907187582	9.34E-05	1
IGLV3-25	506.9138312	-1.252231779	0.445387195	-2.811557657	0.004930225	1
IGLV2-23	633.2487735	-1.006532484	0.373904184	-2.691952982	0.007103496	1
IGLV3-21	431.4696639	-0.961175119	0.42477177	-2.26280367	0.023647795	1
IGLV3-19	1110.507284	-1.074314196	0.466629806	-2.302283702	0.021319178	1
IGLV2-18	162.4713454	-1.392406709	0.494060285	-2.818293134	0.004827971	1
IGLV3-16	5.905860147	-0.875436874	0.543490961	-1.610766209	0.107230689	1
IGLV2-14	934.9549457	-1.25674601	0.472790101	-2.658147891	0.007857141	1
IGLV3-12	1.74003519	-1.483248116	0.612931857	-2.419923356	0.015523779	1
IGLV2-11	1072.461526	-1.666972113	0.436196252	-3.821610353	0.000132583	1
IGLV3-10	397.6636263	-1.783786893	0.452238178	-3.944352728	8.00E-05	1
IGLV3-9	189.0962028	0.82779061	0.625387463	1.323644395	0.185621173	1
IGLV4-3	5.011152401	-1.567597063	0.693994215	-2.258804223	0.023895566	1
IGLV3-1	582.7355308	-1.503666694	0.414892749	-3.624229874	0.000289824	1
IGLC2	2785.821684	-1.517212325	0.385719157	-3.933463762	8.37E-05	1
IGLC3	801.1769621	-1.487395875	0.411203731	-3.617175049	0.000297836	1
IGLC7	43.90465265	-1.599784534	0.449118797	-3.562052058	0.000367967	1
TRGV10	4.086190307	-0.92036153	0.460947029	-1.996675261	0.045860471	1
TRGV8	2.702451074	-1.152435264	0.54134112	-2.128852256	0.033266486	1
TRGV5	2.94741899	-1.168661768	0.443471336	-2.635258862	0.008407314	1
TRGV4	4.573468127	-0.942725953	0.467922785	-2.014704099	0.043935662	1
TRGV3	5.053624372	-1.456564725	0.400241967	-3.639210388	0.000273475	1
TRBV6-1	3.541373469	-0.33472818	0.471817004	-0.709444927	0.478048416	1
TRBV4-1	3.421498309	-0.48769727	0.451739146	-1.079599309	0.280320649	1
TRBV7-3	2.54812544	-0.456603794	0.453114831	-1.007699951	0.313598528	1
TRBV9	4.789399449	-1.566608073	0.443372564	-3.53338975	0.000410267	1
TRBV6-5	4.553131305	-0.895254815	0.345027854	-2.594732002	0.00946647	1
TRBV6-6	2.060945966	-0.661099726	0.516900047	-1.27897014	0.200907571	1
TRBV7-6	2.252848948	-1.124027132	0.703350676	-1.598103435	0.110019959	1
TRBV5-6	2.472056399	-1.337954927	0.518747965	-2.579200337	0.009902934	1
TRBV5-1	7.582557261	-0.944766952	0.332642729	-2.840185192	0.004508735	1
TRBV4-2	1.914723682	-0.356331027	0.561695633	-0.634384542	0.525829895	1
TRBV20-1	12.66418921	-0.805061855	0.296237283	-2.71762503	0.006575231	1
TRBV24-1	3.495074355	-1.730645179	0.470991703	-3.674470626	0.000238343	1
TRBC1	58.78143264	-0.867902852	0.261083247	-3.324238001	0.000886605	1
TRBV27	6.078643223	-0.89586993	0.398971798	-2.245446758	0.024739467	1
TRBV28	7.189594284	-0.78950002	0.338909462	-2.329530773	0.019830965	1
TRBJ2-2P	1.624121367	-0.295008557	0.488964441	-0.603333355	0.546286948	1
TRBJ2-3	2.506492922	-0.548557043	0.466826578	-1.175076716	0.239964025	1
TRBJ2-6	1.305762853	-1.265005662	0.588270909	-2.150379431	0.031525214	1
TRAV2	6.287910101	-1.122770855	0.440361304	-2.549658301	0.010782855	1
TRAV3	1.804175161	-0.506397726	0.450452754	-1.124197203	0.260929376	1
TRAV4	3.084685515	-0.985364108	0.411893222	-2.392280463	0.016744042	1
TRAV5	2.715564109	-1.209371293	0.490641619	-2.464877101	0.013706025	1
TRAV6	1.41809025	-0.955636798	0.578196827	-1.652788035	0.09837401	1
TRAV10	1.357922054	-0.928951547	0.502432426	-1.848908429	0.064471036	1
TRAV12-1	3.712588186	-0.766903223	0.396823097	-1.932607322	0.05328459	1
TRAV8-2	2.717112147	-1.426768899	0.415022474	-3.437811179	0.000586436	1
TRAV8-3	2.71964906	-1.032990494	0.441878939	-2.33772285	0.01940163	1
TRAV13-1	7.318073504	-0.229001435	0.39578191	-0.578605109	0.562855657	1
TRAV12-2	5.290659258	-0.92511228	0.363332696	-2.546185052	0.010890744	1
TRAV8-4	1.67302712	-1.597388321	0.536439332	-2.977761373	0.00290362	1
TRAV13-2	2.954532934	-0.887080835	0.337840742	-2.6257367	0.008646167	1
TRAV14DV4	2.173764786	-1.186286382	0.457213036	-2.594603147	0.009470019	1
TRAV9-2	2.033103593	-0.569790087	0.490395649	-1.16189874	0.245276599	1
TRAV12-3	2.3439694	-0.946151542	0.426540304	-2.218199623	0.026541224	1
TRAV8-6	2.530734208	-0.662013086	0.40764451	-1.62399608	0.104376645	1
TRAV16	1.442131246	-1.320985754	0.482836282	-2.735887512	0.006221229	1
TRAV17	3.308890022	-0.872039201	0.369302141	-2.361316395	0.018210187	1
TRAV19	7.188545165	-1.158851688	0.350782386	-3.303619953	0.000954451	1
TRAV20	1.919440424	-2.000662097	0.582168086	-3.436571232	0.000589127	1
TRAV21	2.553007765	-1.04827997	0.478903869	-2.188915227	0.028603002	1
TRAV22	1.845509303	0.075887891	0.493434424	0.153795292	0.877771146	1
TRAV23DV6	2.625539367	-0.655353254	0.480955276	-1.362607476	0.173006251	1
TRDV1	7.351486108	-1.593024775	0.557423862	-2.85783384	0.004265437	1
TRAV24	1.905652975	-0.371363327	0.709881395	-0.523134328	0.600880778	1
TRAV25	2.0381962	-0.693716559	0.534414188	-1.29808784	0.194257152	1
TRAV26-1	2.487237656	-0.853012348	0.444475058	-1.919145593	0.054965911	1
TRAV27	1.422471366	0.118114989	0.593573601	0.198989626	0.84227086	1
TRAV29DV5	3.504232627	-0.650334633	0.449272534	-1.447528134	0.147749063	1
TRAV26-2	1.763608368	-0.828927359	0.566453691	-1.463362977	0.143368084	1
TRAV38-1	1.150183981	-0.792115175	0.585431526	-1.353044959	0.176041268	1
TRAV38-2DV8	1.662430885	-0.818654154	0.482484267	-1.696747873	0.089744338	1
TRAV41	1.297457426	-0.378653761	0.570907212	-0.663249217	0.507170955	1
TRDV2	2.054928503	-1.763946388	0.641295681	-2.750597642	0.005948666	1
TRDC	11.97653906	-1.143195525	0.424515587	-2.692941227	0.007082475	1
IGHE	5.521167306	-0.618648013	0.527947093	-1.17179926	0.24127766	1
IGHG4	982.0398624	1.424822545	0.521625056	2.731507104	0.006304538	1
IGHG2	2497.413666	-0.417066514	0.418008113	-0.997747412	0.318401856	1
IGHA1	20478.70466	-1.627707989	0.463203868	-3.514020716	0.000441378	1
IGHG3	578.6178755	1.429374047	0.392970134	3.637360509	0.000275446	1
IGHD	25.71782779	-1.281291248	0.475739385	-2.693262925	0.007075645	1
IGHM	4251.243175	-1.105718674	0.429938244	-2.571808138	0.010116894	1
IGHJ6	35.57902091	-1.68572686	0.505740813	-3.333183358	0.000858583	1
IGHV6-1	245.2927613	-0.915487384	0.462770877	-1.978273544	0.047897856	1
IGHV1-2	516.1478614	-1.231801208	0.553061961	-2.227239071	0.0259313	1
IGHV1-3	681.1547401	-1.370538634	0.477356926	-2.871098246	0.004090484	1
IGHV2-5	489.7403495	-1.416880147	0.414675933	-3.416837181	0.000633532	1
IGHV3-11	631.8607464	-1.069931195	0.460735325	-2.32222523	0.020220811	1
IGHV3-13	125.3425769	-1.437132295	0.434623802	-3.306612038	0.000944316	1
IGHV3-15	984.4542226	-1.001681348	0.445193636	-2.249990268	0.024449563	1
IGHV1-18	346.2264903	-1.295007115	0.355198035	-3.645873538	0.000266485	1
IGHV3-20	103.5469233	-1.303368475	0.452222235	-2.882141507	0.003949823	1
IGHV3-21	949.2429981	-0.847853208	0.446190152	-1.900206009	0.05740609	1
IGHV3-23	2746.463021	-1.238639866	0.379899448	-3.260441346	0.00111239	1
IGHV1-24	173.5335289	0.181322214	0.507705529	0.357140515	0.720986615	1
IGHV2-26	50.85309101	-1.139029665	0.457251266	-2.491036659	0.012737098	1
IGHV4-28	69.7169372	-1.424315945	0.53911035	-2.641974775	0.008242419	1
IGHV3-33	139.7681096	-1.059176051	0.408589316	-2.592275441	0.00953434	1
IGHV4-34	318.3825141	-1.052348226	0.37251186	-2.825005962	0.004727974	1
IGHV4-39	686.0614786	-1.009624794	0.414696765	-2.434609765	0.014907858	1
IGHV1-45	3.120331215	-1.857725919	0.677145705	-2.743465556	0.006079443	1
IGHV1-46	469.0423488	-1.059949051	0.44348531	-2.390043204	0.016846391	1
IGHV3-48	956.6682753	-1.354625825	0.417397276	-3.245411271	0.001172811	1
IGHV3-49	401.6633228	-1.571068726	0.412191508	-3.811501925	0.000138125	1
IGHV5-51	683.5463589	-0.96111382	0.414871211	-2.316655855	0.020522486	1
IGHV3-53	261.9882366	-0.292725171	0.566408869	-0.516808948	0.605289533	1
IGHV1-58	36.05556584	-1.330721352	0.519873713	-2.559701169	0.01047622	1
IGHV4-61	182.3926104	-1.350713345	0.485027543	-2.784817818	0.005355781	1
IGHV3-66	209.8845397	-1.504627855	0.530139003	-2.838176116	0.004537214	1
IGHV1-69	22.76706067	-1.207595475	0.435722079	-2.771481028	0.005580192	1
IGHV2-70D	3.282703637	-1.236665789	0.551413298	-2.242720286	0.024914858	1
IGHV3-73	222.2218726	-0.872925866	0.463380533	-1.883820754	0.059589225	1
IGHV5-78	2.90629199	-1.083953727	0.400595161	-2.705858262	0.006812812	1
IGHV7-81	5.655270167	0.518083961	0.411174224	1.260010796	0.207665468	1
PRR22	11.70571782	0.145916626	0.283331016	0.515004068	0.606550178	1
TAS2R14	4.349062868	0.390966336	0.285254185	1.370589306	0.170503019	1
U3.17	2.176922463	0.787794025	0.497949944	1.582074734	0.113632511	1
SNORD17	10.84607526	1.255007814	0.373220068	3.362648265	0.000771987	1
SNORD89	3.692500038	0.502660948	0.351145723	1.43148817	0.152290355	1
SNORA53	1.190126121	-0.114439204	0.542804776	-0.210829398	0.833020398	1
0.459	2.049106627	-0.703037901	0.429793404	-1.635757772	0.101890293	1
LINC01089	56.21717205	-0.387687698	0.22631594	-1.713037528	0.086705636	1
LINC02693	77.09279411	0.429006838	0.205789538	2.084687312	0.037097693	1
LINC02656	2.039697946	-0.56834034	0.422099251	-1.346461379	0.178153768	1
RTL8B	31.40008477	0.302150035	0.369691918	0.817302245	0.413755724	1
RPL15P3	32.45009609	-0.114232418	0.163902495	-0.696953499	0.485831895	1
RNF208	18.97125945	0.690884176	0.300808399	2.296758267	0.021632563	1
MT-ND4L	24846.99519	-0.097253701	0.223037453	-0.436042019	0.662806244	1
MAP10	27.74722516	-0.17705025	0.325321051	-0.544232379	0.586281573	1
0.466	10.67658113	-0.138816982	0.287792566	-0.482350824	0.629556748	1
ZNF580	145.4295166	-0.385963257	0.157067834	-2.457302982	0.013998457	1
PABPN1P1	2.981813436	-0.063231409	0.353508679	-0.178868052	0.858041309	1
ZNF611	63.69130082	-0.049841579	0.161501097	-0.308614489	0.757614798	1
SYT3	2.181671499	0.181171568	0.735871982	0.246199845	0.805527535	1
NUP62	458.5698471	0.293515789	0.094097429	3.119275333	0.001812965	1
